"00CA":"Airport":"Goldstone /Gts/ Airport, Barstow, CA":35.3505255556:-116.888369167
"00ID":"Airport":"Delta Shores Airport, Clark Fork, ID":48.1452777778:-116.214444444
"00S":"Airport":"Mc Kenzie Bridge State Airport, Mc Kenzie Bridge, OR":44.1815555556:-122.085555556
"00W":"Airport":"Lower Granite State Airport, Colfax, WA":46.67275:-117.441666667
"00WA":"Airport":"Howell Airport, Longbranch, WA":47.1784305556:-122.7718
"00WN":"Airport":"Hawks Run Airport, Asotin, WA":46.25:-117.249
"01AZ":"Heliport":"Yat Heliport, Camp Verde, AZ":34.6080555556:-111.864722222
"01CA":"Heliport":"Lugo Substation Heliport, Hesperia, CA":34.3686122222:-117.370046944
"01CL":"Airport":"Swansboro Country Airport, Placerville, CA":38.7999022222:-120.734375556
"01ID":"Airport":"Lava Hot Springs Airport, Lava Hot Springs, ID":42.6082511111:-112.032460556
"01NV":"Airport":"Lantana Ranch Airport, Yerington, NV":38.7638888889:-119.027222222
"01U":"Airport":"Duckwater Airport, Duckwater, NV":38.85325:-115.634666667
"01WA":"Heliport":"Willapa Harbor Heliport, South Bend, WA":46.6631547222:-123.812106111
"01WN":"Heliport":"Whidbey General Hospital Heliport, Coupeville, WA":48.2130888889:-122.685280556
"01WT":"Heliport":"Odyssey Heliport, Renton, WA":47.5181777778:-122.210908333
"02AZ":"Heliport":"Silverbell Army Heliport Heliport, Marana, AZ":32.5216666667:-111.336944444
"02CA":"Heliport":"Beta Platform Ellen Heliport, Huntington Beach, CA":33.5825222222:-118.128954167
"02CL":"Airport":"Conover Air Lodge Airport, Frazier Park, CA":34.7610919444:-119.058993056
"02ID":"Airport":"Morgan Ranch Airport, Cascade, ID":44.5554594444:-115.305106667
"02NV":"Airport":"Paiute Meadows Airport, Winnemucca, NV":41.3005555556:-118.928333333
"02WA":"Airport":"Cawleys South Prairie Airport, South Prairie, WA":47.1523238889:-122.094002778
"02WN":"Airport":"Fowler Fld Airport, Tonasket, WA":48.7458333333:-119.318611111
"03AZ":"Airport":"Thompson Intl Aviation Airport, Hereford, AZ":31.4334325:-110.083965833
"03CA":"Heliport":"Grossmont Hospital Heliport, La Mesa, CA":32.7797727778:-117.005861111
"03ID":"Airport":"Flying Y Ranch Airport, Council, ID":44.7943294444:-116.532646389
"03NV":"Airport":"Llama Ranch Airport, Ruby Valley, NV":40.5844444444:-115.297777778
"03OR":"Airport":"Powwatka Ridge Airport, Troy, OR":45.8554219444:-117.484344167
"03S":"Airport":"Sandy River Airport, Sandy, OR":45.4016111111:-122.228694444
"03WA":"Airport":"Spangle Field Airport, Spangle, WA":47.4082269444:-117.371863611
"03WN":"Airport":"Aerostone Ranch Airport, Goldendale, WA":45.8750416667:-120.6725
"03WT":"Heliport":"Lopez Medical Clinic Heliport, Lopez Island, WA":48.5249333333:-122.912388889
"04CA":"Airport":"Gray Butte Field Airport, Palmdale, CA":34.5666222222:-117.670383333
"04CL":"Airport":"Desert Wings Sky Ranch Airport, Julian, CA":33.0817108333:-116.441404444
"04ID":"Airport":"Lanham Field Airport, Emmett, ID":43.8776641667:-116.537080556
"04NV":"Airport":"Kingston Ranch Airport, Sandy Valley, NV":35.7555313889:-115.664728056
"04OG":"Heliport":"Teufel Heliport, Forest Grove, OR":45.5308333333:-123.085555556
"04OR":"Airport":"Collins Landing Strip Airport, Mitchell, OR":44.7498552778:-120.201128889
"04WA":"Airport":"Ox Meadows Airport, Spokane, WA":47.5818361111:-117.4371525
"04WN":"Airport":"Stillwater Creek Airport, Royal City, WA":46.9583583333:-119.638819444
"05AZ":"Heliport":"Yuma Rgnl Medical Center Heliport, Yuma, AZ":32.6828261111:-114.634396944
"05CA":"Heliport":"Lost Hills Sheriff'S Station Heliport, Calabasas, CA":34.1377777778:-118.714444444
"05CL":"Airport":"Pope Valley Airport, Pope Valley, CA":38.6107391667:-122.3913675
"05ID":"Airport":"Running Creek Ranch Airport, Grangeville, ID":45.9140836111:-114.835660556
"05OG":"Heliport":"Drill Field Pad Heliport, Eugene, OR":44.0595388889:-123.118847222
"05OR":"Airport":"6 Ranch Airport, Enterprise, OR":45.44425:-117.347305556
"05S":"Airport":"Vernonia Muni Airport, Vernonia, OR":45.85210625:-123.242869306
"05U":"Airport":"Eureka Airport, Eureka, NV":39.60375:-116.003611111
"05WA":"Heliport":"Sacred Heart Medical Center Helistop Heliport, Spokane, WA":47.648225:-117.413545556
"05WN":"Airport":"Flat Creek Field Airport, Kettle Falls, WA":48.7022222222:-118.0475
"06AZ":"Heliport":"Mercy Gilbert Medical Center Heliport, Gilbert, AZ":33.2858333333:-111.752777778
"06CA":"Heliport":"Sce Solar I Heliport, Yermo, CA":34.8708188889:-116.834201389
"06CL":"Heliport":"Abc7-Tv Heliport, Glendale, CA":35.1572222222:-118.288611111
"06ID":"Airport":"Larkin Airport, Kuna, ID":43.462665:-116.359008333
"06U":"Airport":"Jackpot/Hayden Field Airport, Jackpot, NV":41.9758293333:-114.65801575
"06WA":"Heliport":"N A Degerstrom Yard Heliport, Spokane, WA":47.6862847222:-117.197983889
